2017-04-23 21:52:13,079 INFO     (deoplete.logging) --- Deoplete Log Start ---
2017-04-23 21:52:13,730 INFO     (deoplete.logging) NVIM 0.1.7, Python 3.6.1, neovim client 0.1.13
2017-04-23 21:52:32,916 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:32,916 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'event', 'event': 'configFileDiag', 'body': {'triggerFile': '/Users/mhartington/GitHub/StarTrack-Ionic/src/components/ion-music-card/ion-music-card.ts', 'configFile': '/Users/mhartington/GitHub/StarTrack-Ionic/tsconfig.json', 'diagnostics': []}}
2017-04-23 21:52:32,916 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:32,917 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'event', 'event': 'configFileDiag', 'body': {'triggerFile': '/Users/mhartington/GitHub/StarTrack-Ionic/src/components/ion-music-card/ion-music-card.ts', 'configFile': '/Users/mhartington/GitHub/StarTrack-Ionic/tsconfig.json', 'diagnostics': []}}
2017-04-23 21:52:32,917 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:32,919 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'reload', 'request_seq': 3, 'success': True}
2017-04-23 21:52:32,919 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:32,928 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'reload', 'request_seq': 3, 'success': True, 'body': {'reloadFinished': True}}
2017-04-23 21:52:32,929 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:33,000 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'completions', 'request_seq': 4, 'success': True, 'body': []}
2017-04-23 21:52:33,000 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:34,522 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:34,522 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'reload', 'request_seq': 5, 'success': True}
2017-04-23 21:52:34,522 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:34,526 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'reload', 'request_seq': 5, 'success': True, 'body': {'reloadFinished': True}}
2017-04-23 21:52:34,526 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:34,578 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'completions', 'request_seq': 6, 'success': True, 'body': [{'name': '_track', 'kind': 'property', 'kindModifiers': '', 'sortText': '0'}, {'name': 'favoriteIcon', 'kind': 'property', 'kindModifiers': '', 'sortText': '0'}, {'name': 'handleDrag', 'kind': 'method', 'kindModifiers': '', 'sortText': '0'}, {'name': 'ifPlaying', 'kind': 'property', 'kindModifiers': '', 'sortText': '0'}, {'name': 'isFavorite', 'kind': 'property', 'kindModifiers': '', 'sortText': '0'}, {'name': 'isSeeking', 'kind': 'property', 'kindModifiers': '', 'sortText': '0'}, {'name': 'nativeMedia', 'kind': 'property', 'kindModifiers': 'public', 'sortText': '0'}, {'name': 'ngOnInit', 'kind': 'method', 'kindModifiers': '', 'sortText': '0'}, {'name': 'playSong', 'kind': 'method', 'kindModifiers': '', 'sortText': '0'}, {'name': 'player', 'kind': 'property', 'kindModifiers': '', 'sortText': '0'}, {'name': 'playerEnded', 'kind': 'method', 'kindModifiers': '', 'sortText': '0'}, {'name': 'progress', 'kind': 'property', 'kindModifiers': '', 'sortText': '0'}, {'name': 'seek', 'kind': 'method', 'kindModifiers': '', 'sortText': '0'}, {'name': 'setProgress', 'kind': 'method', 'kindModifiers': '', 'sortText': '0'}, {'name': 'stopSong', 'kind': 'method', 'kindModifiers': '', 'sortText': '0'}, {'name': 'toggleSong', 'kind': 'method', 'kindModifiers': '', 'sortText': '0'}, {'name': 'track', 'kind': 'getter', 'kindModifiers': '', 'sortText': '0'}]}
2017-04-23 21:52:34,579 DEBUG    (deoplete.typescript) ************
